id,tier1,tier2,tier3,explanation
17,Joining,Welding,Radio frequency welding,"Radio frequency electromagnetic field (27.12MHz) oscillates polar molecules within dielectric thermoplastic generating internal volumetric heating for fusion. Select for PVC, polyurethane, nylon, EVA when sealing large areas or thick sections. Works only on materials with polar molecules/loss factor (vs non-polar polyolefins), simultaneous heating through thickness, fast cycle times."
18,Joining,Welding,Electro-magnetic,"Broad category using electromagnetic field effects (induction heating, magnetic pulse forces) to generate heat or motion for joining conductive materials. Choose when non-contact energy transfer or electromagnetic force manipulation beneficial. Encompasses both induction (thermal) and magnetic pulse (kinetic) welding variants distinguished by frequency/intensity/mechanism."
19,Joining,Welding,Infrared,"Infrared radiant energy heats thermoplastic surfaces contactless before pressing together for molecular bonding. Select for clean contamination-free heating, transparent materials, controlled surface temperature profiling. Radiant heat transfer (vs conduction/convection), surface absorption heating, thermoplastics only. Faster than oven heating for localized joint areas."
20,Joining,Welding,Vacuum welding,"Welding performed in controlled vacuum environment (<10⁻⁴ torr) eliminating atmospheric contamination and oxidation during joining. Choose for reactive metals (Ti/Zr/Ta/W), high-purity applications (semiconductor/medical), research-grade joints. Eliminates shielding gas requirements, expensive vacuum chamber equipment, ultra-clean weld zones. Often combined with electron beam or laser."
21,Joining,Brazing,,"Joins metals using molten filler alloy (>450°C melting point) that flows between closely-fitted surfaces via capillary action without melting base materials. Select for dissimilar metal joining, heat-sensitive assemblies, complex multi-joint assemblies in single operation. Gap-dependent process (0.025-0.125mm optimal), stronger than soldering (<450°C filler) but lower strength than fusion welding. Filler melts below base metal melting point."
22,Joining,Brazing,Torch,"Manual or automated brazing using oxy-acetylene or air-fuel gas torch to heat assembly and melt filler alloy. Choose for small batch production, field repairs, manual operations requiring portability. Operator skill-dependent heating control, versatile for various geometries, slower than automated methods. Gas flame provides both heat and reducing atmosphere."
23,Joining,Brazing,Induction brazing,"Electromagnetic induction rapidly heats workpieces allowing precise temperature control and localized heating for production brazing. Select for high-volume repetitive production, automated integration, consistent joint quality. Faster heat-up than torch (seconds vs minutes), reproducible heating patterns, requires induction coil design for each geometry. Common for carbide tool tips, tube assemblies."
24,Joining,Brazing,Furnace,"Batch brazing in controlled atmosphere furnace providing uniform heating suitable for multiple joints simultaneously. Choose for complex assemblies with many joints, production quantities (dozens to thousands), tight atmosphere control. Uniform thermal distribution, hands-off processing, slower cycle than induction but handles complex geometries. Often uses vacuum or hydrogen atmosphere."
25,Joining,Brazing,Dip,"Assembly immersed in molten salt bath or molten filler metal providing simultaneous heating and flux/filler application. Select when uniform heating of complex shapes, high production rates, or integrated flux action needed. Salt bath (flux bath) or metal bath variants, rapid uniform heating, limited to geometries suitable for immersion. Requires post-braze cleaning."
26,Joining,Soldering,,"Joins metals using low-temperature filler alloy (<450°C melting point, typically tin-lead or lead-free alloys) creating electrical and mechanical connection without melting base materials. Choose for electronics assembly, heat-sensitive components, copper/brass assemblies requiring electrical conductivity. Lower joint strength than brazing (>450°C) or welding (fusion), easily reworkable/repairable, minimal base metal thermal exposure."
27,Joining,Soldering,Iron,"Manual soldering using electrically-heated tip to transfer heat melting solder at joint. Select for through-hole electronics assembly, repair work, small-scale production, hand assembly. Operator skill-dependent, versatile for various component types, slow compared to automated methods. Tip temperature typically 300-400°C controlled by thermostat."
28,Joining,Soldering,Hot plate,"Soldering using heated flat platen surface to simultaneously heat multiple joints on PCB assembly. Choose for surface-mount component reflow, production of small boards, simple low-cost equipment. Entire assembly heated (not selective like iron), thermal mass affects cycle time, suitable for limited component density. Temperature profiling important to prevent component damage."
29,Joining,Soldering,Oven,"Batch or in-line conveyor reflow soldering heating assemblies in controlled atmosphere oven. Select for surface-mount technology (SMT) production, high volume, precise thermal profiling through preheat-reflow-cooling zones. Industry standard for electronics manufacturing, handles complex boards, nitrogen atmosphere capability. Thermal profiling controls intermetallic formation."
30,Joining,Soldering,Induction,"Electromagnetic induction provides rapid localized heating for production soldering with precise temperature control. Choose for automated selective soldering, repetitive joints, fast thermal cycles. Faster than conventional heating, contactless energy transfer, requires coil design for joint geometry. Used for connectors, shielding cans, selective through-hole components."
31,Joining,Soldering,Dip,"Assembly or leads dipped into molten solder bath providing simultaneous coating and joining of multiple connections. Choose for through-hole leads, wire tinning, production of connectors with many pins. Rapid processing, uniform solder coating, limited to geometries suitable for immersion. Solder bath temperature maintained at ~250°C for tin-lead alloys."
32,Joining,Soldering,Wave,"Automated soldering where PCB passes over standing wave of molten solder selectively soldering through-hole components. Select for high-volume through-hole assembly, mixed technology boards, bottom-side connections. Industry standard for through-hole manufacturing, handles various component types simultaneously, requires proper flux application and board orientation."
33,Joining,Soldering,Ultrasonic,"Ultrasonic vibrations (20-40kHz) break surface oxides enabling solder wetting on difficult-to-solder materials without flux. Choose for aluminum soldering, oxide-coated surfaces, flux-free applications. Mechanical oxide disruption (vs chemical flux), enables soldering of traditionally difficult materials, specialized equipment required. Used for aluminum electronics enclosures, heat sinks."
34,Joining,Sintering,,"Solid-state densification process bonding powder particles into coherent mass through atomic diffusion at elevated temperature (60-90% melting point) without full melting. Select for powder metallurgy parts, porous structures with controlled porosity, or joining carbides/ceramics. Creates metallurgical bonds between particles (vs mechanical mixing), enables net-shape manufacturing, grain growth occurs during thermal exposure."
35,Joining,Sintering,Conventional Sintering,"Traditional sintering heating compacted powder in furnace atmosphere allowing particle bonding through solid-state diffusion mechanisms. Choose for cost-effective production, established process control, parts not requiring full density. Slow heating/cooling cycles (hours), atmospheric or protective gas environment, achieves 85-95% theoretical density. Typical for bronze bearings, structural parts. METAL powder. NOT polymer coating."
36,Joining,Sintering,Spark Plasma Sintering (SPS),"Rapid sintering using pulsed DC current (kA magnitude) passing through powder compact combining Joule heating with possible plasma activation at particle contacts. Select for rapid densification (<10 min vs hours), fine microstructure preservation, research/advanced materials. Ultra-fast heating rates (100-600°C/min), near-theoretical density achievable, electrically conductive materials optimal. Expensive equipment, smaller part sizes."
37,Joining,Sintering,Vacuum Sintering,"Sintering in vacuum environment (<10⁻² torr) preventing oxidation and enabling volatile removal for reactive metals and high-purity applications. Select for stainless steel, titanium, refractory metals where oxidation must be prevented. Eliminates protective atmosphere gases, removes lubricants/binders in vacuum, achieves high-purity sintered products. Common for cemented carbides, stainless steels."
38,Joining,Adhesive bonding,,"Joins surfaces using polymeric adhesive materials creating chemical/physical bonds through curing/drying mechanisms. Choose for dissimilar material joining, large bonding areas, stress distribution over area vs point loading. Eliminates heat distortion (vs welding), bonds non-metals and metals, requires surface preparation for strength. Gap-filling capability accommodates surface irregularities."
39,Joining,Adhesive bonding,Thermo setting,"Adhesive undergoes irreversible chemical cross-linking reaction when heated forming three-dimensional polymer network that cannot be remelted. Select for high-temperature resistance (>150°C service), structural bonding, chemical resistance applications. Curing creates permanent molecular network (vs thermoplastic physical bonds), heat resistance after cure, cannot be reworked once cured. Includes epoxies, phenolics, polyurethanes."
40,Joining,Adhesive bonding,Epoxy,"Two-part thermosetting adhesive (resin + hardener) offering exceptional strength, chemical resistance, and bonding to diverse substrates. Choose for structural aerospace/automotive bonding, tooling, composite assembly. Superior adhesion to metals/composites/ceramics, minimal shrinkage during cure, wide range of cure speeds and formulations. Most versatile high-strength adhesive family."
41,Joining,Adhesive bonding,Modified epoxy,"Epoxy resins chemically modified with elastomers, toughening agents, or other polymers to enhance flexibility, impact resistance, or specific properties. Select when standard epoxy brittleness inadequate, peel strength improvement needed, or thermal expansion mismatch issues. Sacrifices some strength for improved toughness, better vibration damping than unmodified epoxy. Common for automotive crash-resistant bonds."
42,Joining,Adhesive bonding,Phenolics,"Phenol-formaldehyde thermosetting resins offering high heat resistance (200°C+) and strength commonly used in wood products and friction materials. Choose for high-temperature applications, electrical insulation, brake/clutch linings. Excellent heat resistance (superior to epoxy), brittle when cured, dark color limits appearance applications. Traditional plywood and particle board adhesive."
43,Joining,Adhesive bonding,Polyurethane,"Versatile adhesive chemistry offering flexibility, impact resistance, and bonding to diverse substrates including plastics and elastomers. Select for flexible bonds, impact-resistant assemblies, bonding dissimilar materials with different thermal expansion. Wide hardness range (soft to rigid), good low-temperature performance, moisture-sensitive during cure. Common for automotive glass bonding, construction."
44,Joining,Adhesive bonding,Adhesive alloys,"Metallic or metal-filled adhesive systems providing electrical/thermal conductivity for electronics and thermal management. Choose when electrical grounding, thermal conduction, or EMI shielding required in bonded joint. Conductive particle fillers (silver, copper, nickel) in polymer matrix, lower conductivity than solder but room-temperature cure. Used for die attach, EMI gaskets, thermal interface materials."
45,Joining,Adhesive bonding,Miscellaneous,"Specialized adhesive chemistries including cyanoacrylates (instant adhesives), anaerobics (threadlockers), acrylics, silicones for specific niche applications. Select based on specific requirements not met by major families - rapid cure, gap-filling, sealability. Cyanoacrylates for rapid bonding of small parts, anaerobics for threaded assemblies, silicones for high-temperature flexibility."
46,Joining,Adhesive bonding,Thermoplastic,"Adhesives that soften when heated and re-solidify when cooled through reversible physical phase change without chemical curing. Choose when repositioning during assembly, rework capability, or hot-melt application desired. Reversible bonding (vs thermoset permanent cure), unlimited working time before heating, fast set when cooled. Hot-melt adhesives, heat-activated film adhesives. Lower service temperature than thermosets."
47,Joining,Fastening,,"Mechanical joining using discrete hardware components (screws, bolts, rivets, pins) creating disassemblable or permanent connections through mechanical interlocking. Select when disassembly required, no heat acceptable, field assembly needed, or point-loading acceptable. No heat/chemical exposure (vs welding/adhesives), removable (for threaded fasteners), stress concentration at fastener locations. Enables modular assembly."
48,Joining,Fastening,Nailing,"Driving slender pointed metal fasteners through materials creating mechanical interlock through friction and material displacement. Choose for wood construction, high-speed assembly, low-cost permanent joining. Rapid installation (pneumatic nailers), permanent connection (difficult removal), limited to soft materials or pre-drilled holes. Construction industry standard for wood framing."
49,Joining,Fastening,Screwing,"Threaded fasteners engaging with tapped holes or self-tapping into material creating removable mechanical connection. Select when disassembly/reassembly required, adjustable clamping force needed, threaded engagement preferred. Removable and reusable (vs nails/rivets), adjustable torque/preload, thread engagement provides mechanical advantage. Requires rotation access for installation."
50,Joining,Fastening,Nut and bolts,"Externally threaded bolt passing through clearance holes clamped by internally threaded nut creating high-strength removable joint. Choose for through-thickness clamping, high tensile loads, critical structural connections requiring known preload. Highest strength mechanical fastening, precise preload control via torque, requires access to both sides. Used for steel structures, machinery, automotive chassis."
51,Joining,Fastening,Riveting,"Permanent mechanical fastener inserted through aligned holes and mechanically deformed (buckling/upsetting) creating head on both sides clamping parts. Select for permanent assembly, vibration-resistant connections, one-side installation (blind rivets), or aluminum aircraft structure. Non-removable (vs bolts), no stress concentration from threads, economical for production. Aerospace standard for sheet metal assembly."
52,Joining,Fastening,Clinching,"Cold forming process creating mechanical interlock by locally deforming sheet materials together without additional fasteners using punch and die. Choose for joining coated sheets without damaging finish, economics (no fastener cost), automated high-speed production. No consumable fasteners required (vs rivets/screws), preserves coatings (no drilling), limited to sheet materials. Common for automotive body panels, HVAC ductwork."
53,Joining,Fastening,Pinning,"Cylindrical or tapered pins inserted into aligned holes providing precise location and preventing relative movement between components. Select for precise positioning, shear load transmission, removable connections, or alignment features. Primarily for shear loading (vs tensile for bolts), precise hole alignment required, various types (dowel, taper, roll, spring pins). Used for shaft positioning, tooling alignment."
54,Joining,Fastening,Stitching,"Wire staples or specialized fasteners driven in continuous or intermittent pattern similar to fabric sewing for joining flexible or thin materials. Choose for flexible material assembly, automotive interior trim, continuous seam fastening. Continuous seam vs discrete fasteners, suitable for fabrics/thin materials, flexible connection. Used for automotive headliners, upholstery, packaging."
55,Joining,Fastening,Stapling,"U-shaped wire fasteners driven through materials and clinched on opposite side creating economical low-strength connection. Select for packaging, light assembly, temporary connections, high-speed automated fastening. Economical rapid fastening, limited strength (vs screws/rivets), difficult to remove cleanly. Staple guns enable rapid manual or automated installation."
56,Joining,Press fitting,,"Interference fit assembly forcing shaft into undersized hole where shaft diameter exceeds bore diameter creating friction-based connection. Choose for precise positioning, high torque transmission, permanent/semi-permanent assembly without fasteners. Interference magnitude determines retention force, may require heating/cooling for assembly/disassembly, no fasteners required. Common for bearings onto shafts, bushings into housings."
57,Joining,Surface Preparation,,"Cleaning, treating, or modifying surfaces before joining operations to remove contaminants, increase surface energy, or improve wettability for enhanced bond strength. Select when joint strength requirements demand optimized surface conditions, bonding non-metallic surfaces, or critical structural joints. Dramatically affects adhesive/braze/solder joint strength, removes oxides/oils/contaminants, may include mechanical (abrasion) or chemical (etching/priming) treatments."
58,Casting,,,"Forms complex-shaped parts by pouring molten metal into mold cavity and allowing solidification producing net or near-net shape in single operation. Choose when complex internal passages, hollow structures, large one-piece components, or economical production for specific volumes needed. Enables geometries impossible to machine or form, minimal material waste compared to machining, economical for medium-to-high volumes. Distinct from forming (no melting) and machining (subtractive from solid)."
59,Casting,Centrifugal industrial,,"Rotates cylindrical mold at high speed while pouring molten metal using centrifugal force to distribute material against mold walls producing hollow cylindrical parts with superior density and grain structure. Select for pipes, tubes, bushings, or cylindrical parts requiring fine-grain outer surface and sound structure. Centrifugal force eliminates need for cores, natural directional solidification, dense outer surface with possible central porosity. True centrifugal (symmetric rotation) vs semi-centrifugal variants. MOLTEN METAL ONLY. NOT plastic rotational molding."
60,Casting,Continuous casting,,"Molten metal continuously poured into water-cooled mold while solidified material continuously withdrawn producing long semi-finished products (billets, blooms, slabs) without discrete casting cycles. Choose for high-volume primary steel/aluminum production, consistent quality, integration with rolling mills. Eliminates ingot casting and breakdown rolling, higher yield, consistent cross-section. Industry standard for modern steel production."
61,Casting,Die casting,,"High-pressure injection of molten metal into steel dies producing high-dimensional accuracy parts with excellent surface finish for mass production. Select for high-volume production (thousands to millions), thin walls, complex shapes with tight tolerances. Reusable steel dies (vs expendable sand molds), high production rates, limited to low-melting alloys (Al, Zn, Mg). Excellent surface finish reduces secondary machining."
62,Casting,Evaporative pattern,,"Casting processes using expandable foam patterns (polystyrene) that vaporize when contacted by molten metal eliminating pattern removal and enabling complex geometries. Choose when pattern removal difficult, complex internal geometry, or low-volume production not justifying permanent tooling. Pattern vaporizes in-place (vs removable patterns), enables intricate undercuts/internal features, pattern destroyed each casting. Lost foam and full-mold variants."
63,Casting,Evaporative pattern,Full mold casting,"Uses unbonded dry sand surrounding polystyrene foam pattern that gasifies during pouring without requiring pattern removal or mold bonding. Select for large castings, low production quantities, complex shapes without draft angles. No binder in sand (environmentally friendly), no pattern removal required, suitable for large parts. Pattern destroyed during casting."
64,Casting,Evaporative pattern,Lost foam casting,"Foam pattern coated with refractory wash and embedded in unbonded sand that vaporizes as molten metal fills cavity. Choose for complex aluminum/iron castings, near-net-shape production, elimination of cores and draft angles. Pattern cluster enables multiple cavities in single pour, excellent dimensional accuracy, foam gases must escape to prevent defects. Common for automotive engine blocks, cylinder heads."
65,Casting,Investment casting,,"Precision casting creating expendable wax pattern coated with ceramic shell then melted out leaving cavity for molten metal producing complex parts with excellent surface finish and dimensional accuracy. Select for intricate geometries, thin walls, close tolerances (±0.005""), or difficult-to-machine alloys. Wax pattern melted out (vs foam gasified), superior surface finish to sand casting, expensive for large parts. Aerospace turbine blades, medical implants, jewelry."
66,Casting,Investment casting,Counter gravity casting,"Investment casting variant where molten metal fills mold from bottom upward using pressure differential or electromagnetic pump reducing turbulence and oxide inclusions. Choose when cleanliness critical, minimized porosity needed, or thin-wall filling challenging. Bottom-up filling reduces air entrapment (vs top-pour turbulence), improved feeding, specialized equipment required. Used for aerospace and high-integrity castings."
67,Casting,Low pressure die,,"Applies low air pressure (0.3-1 bar) to molten metal forcing it upward through riser tube into die cavity providing controlled non-turbulent filling. Select for aluminum wheels, cylinder heads, or parts requiring excellent mechanical properties and minimal porosity. Gentler filling than high-pressure die casting, better mechanical properties, slower production rate. Common for aluminum automotive wheels and structural components."
68,Casting,Permanent mold,,"Reusable metal (typically cast iron or steel) molds used repeatedly providing better dimensional control and surface finish than sand casting. Choose for medium-volume production (hundreds to thousands), improved properties vs sand casting, alloys with melting points compatible with mold materials. Gravity or low-pressure filling, better heat extraction than sand, limited to simpler geometries than sand. Economical for medium volumes of aluminum/magnesium parts."
69,Casting,Plastic mold,,"Uses plastic or composite molds for casting low-temperature materials or prototyping applications providing low-cost short-lead-time tooling. Select for rapid prototyping of cast parts, low-temperature alloys (Zn, Bi, Sn), artistic castings, or tooling verification. Inexpensive mold fabrication, limited durability and temperature capability, suitable for small production runs. Used for rapid prototype casting validation."
70,Casting,Resin casting,,"Pours liquid thermoset resin polymers into mold where they chemically cure to solid producing plastic parts, tooling, or patterns without high temperatures. Choose for low-volume plastic part production, composite tooling, prototype parts, or pattern making. Room-temperature or low-temperature cure (vs metal casting), wide variety of resin systems (epoxy, polyurethane, polyester), limited mechanical properties vs injection molding. Used for prototyping, art, composite tooling."
71,Casting,Sand casting,,"Most versatile casting process using bonded sand molds suitable for almost any metal producing parts from ounces to tons most economical for low-to-medium volumes. Select for large parts, low production quantities, variety of alloys, or lowest tooling cost. Pattern required but not expensive permanent tooling, accommodates any alloy, rough surface finish vs die casting. Widest alloy compatibility and size range of any casting process."
72,Casting,Shell molding,,"Creates thin resin-bonded sand shell molds (3-10mm thick) providing better surface finish and dimensional accuracy than conventional sand casting with faster production. Choose when surface finish and dimensional control better than sand casting needed but investment casting expense not justified. Thin shell molds (vs thick sand molds), better dimensional accuracy than green sand, faster cycle time. Used for automotive components, small-to-medium parts."
73,Forming,,,"Plastically deforms materials into desired shapes through applied mechanical forces without removing material or changing volume achieving net or near-net shape with improved grain flow. Select when material conservation important, mechanical property enhancement through work hardening desired, or grain flow alignment beneficial. No material removal or melting (vs machining/casting), work hardening strengthens material, continuous grain flow improves fatigue resistance. Encompasses rolling, forging, extrusion, sheet metal operations."
74,Forming,End tube,,"Specialized tube forming processes modifying tube ends through plastic deformation for functional features, aesthetic finishing, or assembly preparation. Choose when tube ends require reinforcement, sealing surfaces, attachment features, or diameter changes. Tube-specific forming operations (vs general forming), creates circumferential or axial end features. Includes beading, flaring, reducing, expanding operations."
75,Forming,End tube,Tube beading,"Creates circumferential raised bead or groove near tube end by rotating tool compressing tube wall. Select for reinforcement, sealing surface for O-ring, positive stop for assembly, or aesthetic finish. Forms circumferential feature (vs flare which expands diameter), strengthens tube end, provides assembly features. Common for automotive fuel/brake lines, HVAC tubing."
76,Forming,Forging,,"Plastically deforms heated or cold metal using compressive forces from hammer or press into desired shapes producing parts with superior mechanical properties from grain flow and work hardening. Choose for critical structural components, maximum strength-to-weight, fatigue resistance, or high-stress applications. Compressive forces (vs tensile in wire drawing), grain flow follows part contour, superior properties to cast equivalents. Aerospace landing gear, automotive crankshafts, hand tools."
77,Forming,Forging,Smith,"Traditional hand forging where blacksmith manually shapes heated metal using hammer and anvil providing ultimate flexibility for custom and artistic metalwork. Select for one-off custom parts, artistic ironwork, repairs, or traditional craft applications. Manual process (vs mechanized), ultimate design flexibility, skill-intensive slow production. Used for artistic ironwork, historical restoration, custom tooling."
78,Forming,Forging,Hammer forge,"Repetitive impact forging using gravity-drop or power-driven hammer to progressively shape metal through multiple blows. Choose for medium-sized parts, flexibility in die design, or when impact energy beneficial for material flow. Impact energy delivery (vs continuous squeezing in press), suitable for various production scales, less precise than press forging. Used for aerospace components, hand tools, hardware."
79,Forming,Forging,Drop forge,"Enclosed-die forging where upper die attached to hammer drops onto workpiece in lower die impression producing precise near-net-shape parts. Select for high-volume production of complex shapes, close tolerances, minimal flash waste. Closed die confines material flow (vs open-die), near-net-shape reduces machining, flash formed at parting line. Automotive connecting rods, hand tools, hardware components."
80,Forming,Forging,Press,"Continuous squeezing pressure from hydraulic or mechanical press slowly deforms metal providing better control and uniform deformation through entire thickness. Choose for large parts, precise dimensional control, uniform microstructure through thickness, or materials requiring slow strain rates. Continuous pressure (vs impact), uniform deformation through thickness, better dimensional control than hammer. Large crankshafts, turbine discs, structural fittings."
81,Forming,Forging,Impact,"High-velocity impact forging delivering energy rapidly similar to hammer forging providing quick forming cycles for production efficiency. Select for rapid production cycles, materials responsive to impact loading, or automated high-volume production. High strain rate deformation, rapid cycles, between hammer and press characteristics. Production hardware, automotive components."
82,Forming,Forging,Upset,"Increases cross-sectional area by compressing length typically creating heads on fasteners or bulges on shafts. Choose for creating bolt/rivet heads, shaft shoulders, or redistributing material along axis. Axial compression increases diameter (vs lateral spreading), commonly performed cold, efficient material redistribution. Bolt heading, rivet making, shaft forming."
83,Forming,Forging,No draft,"Precision forging producing vertical walls without draft taper providing near-net-shape closer to final dimensions reducing subsequent machining. Select when minimizing machining stock, complex precision forgings, or tight tolerances needed. Vertical walls (vs conventional 3-7° draft), requires higher forging forces, closer to final dimensions. Precision aerospace and automotive components."
84,Forming,Forging,High-energy-rate,"Explosive, pneumatic, or electromagnetic energy sources deliver extremely rapid forming energy for difficult materials or special applications. Choose for difficult-to-form materials, specialized geometries, or when conventional forging inadequate. Ultra-high strain rates (>10³/sec), suitable for hard/brittle materials, specialized equipment. Aerospace components from exotic alloys, specialized applications."
85,Forming,Forging,Cored,"Forging process creating hollow sections or internal cavities using mandrels or cores reducing weight and material usage. Select for hollow shafts, tubular components, or weight reduction with maintained strength. Internal cavity formed during forging (vs drilling/machining), reduced material consumption, requires core/mandrel tooling. Hollow drive shafts, tubular aerospace components."
86,Forming,Forging,Incremental,"Progressive forging through series of small sequential forming operations allowing complex shapes with lower force requirements than single-step forging. Choose for complex shapes, limited press capacity, or optimized material flow through staged operations. Multiple forming steps (vs single operation), lower force requirements, optimized grain flow. Complex aerospace and automotive structural components."
87,Forming,Forging,Powder,"Forging of powder metallurgy preforms combines compacted powder shapes with hot forging achieving full density and superior mechanical properties. Select when combining near-net-shape PM with full density, difficult-to-machine materials, or complex internal features. PM preform provides near-net-shape, forging achieves full density, combines advantages of both processes. High-performance gears, aerospace structural components."
88,Forming,Rolling,,"Passes material between rotating rolls reducing thickness, increasing length, or imparting specific cross-sectional profile through compressive forces. Choose for sheet, plate, structural shapes, seamless tubing, or continuous high-volume production. Continuous process (vs discrete forging), high production rates, excellent dimensional control for flat products. Steel sheets, structural beams, foil, seamless pipe."
89,Forming,Rolling,Cold rolling,"Rolling performed below recrystallization temperature providing improved surface finish, dimensional accuracy, and mechanical properties through work hardening. Select for tight tolerances (±0.001""), excellent surface finish, increased strength/hardness, or thin-gauge products. Room temperature processing (vs hot rolling above recrystallization), work hardening strengthens material, precise dimensional control. Sheet metal for automotive body panels, precision strip, foil."
90,Forming,Rolling,Hot rolling,"Rolling performed above recrystallization temperature allowing large thickness reductions without work hardening suitable for breaking down ingots and producing semi-finished products. Choose for large thickness reductions (50%+ per pass), breaking down cast ingots, or avoiding work hardening. High temperature eliminates work hardening via recrystallization, larger reductions possible than cold rolling, scale forms on surface. Primary breakdown of ingots into slabs/blooms/billets."
91,Forming,Rolling,Sheet metal,"Produces flat sheets and plates from slabs or coils through hot or cold rolling. Select for automotive body panels, appliance housings, construction materials, or any flat sheet application. Flat products (vs structural shapes), various thicknesses (foil to plate), cold-rolled provides better surface and properties. Widest application range from packaging foil to shipbuilding plate."
