"id:ID","brandNormalized","cpuNormalized","createdAt","description","gpuNormalized","name","price","ramNormalized","screenSize",":LABEL"
"laptop_macbook_pro_14_inch_m2_pro","Apple","i7","2025-07-31T22:07:41.389394","Professional laptop with perfect balance of performance and portability. Excellent for software development, design work, and content creation. Premium display and build quality.","40xx","MacBook Pro 14-inch M2 Pro","2799.0","32GB","15","E_Laptop"
"laptop_macbook_pro_13_inch_m1","Apple","i7","2025-07-31T22:07:41.389394","Proven performer with excellent efficiency and performance. Great for everyday professional work and creative tasks. Outstanding battery life and reliable operation.","30xx","MacBook Pro 13-inch M1","1799.0","32GB","13","E_Laptop"
"laptop_zenbook_pro_16x_oled","ASUS","i9","2025-07-31T22:07:41.389394","Flagship creator laptop with stunning OLED display and top-tier performance. Perfect for professional content creation, video editing, and 3D work. Premium materials and exceptional screen quality.","50xx","ZenBook Pro 16X OLED","3599.0","64GB","16","E_Laptop"
"laptop_zenbook_14_oled","ASUS","i7","2025-07-31T22:07:41.389394","Beautiful ultrabook with vibrant OLED display and solid performance. Great for professionals and creatives who value display quality. Portable design with premium build materials.","40xx","ZenBook 14 OLED","1999.0","32GB","15","E_Laptop"
"laptop_zenbook_flip_13_ux363","ASUS","i7","2025-07-31T22:07:41.389394","Versatile convertible laptop with 360-degree hinge and touchscreen. Perfect for note-taking, presentations, and creative work. Compact and portable with flexible usage modes.","30xx","ZenBook Flip 13 UX363","1699.0","16GB","13","E_Laptop"
"laptop_zenbook_13_ux325","ASUS","i5","2025-07-31T22:07:41.390404","Affordable premium ultrabook with excellent portability and performance. Great for students and professionals who need a reliable daily driver. Lightweight with good build quality.","30xx","ZenBook 13 UX325","1299.0","16GB","13","E_Laptop"
"laptop_zenbook_pro_15_oled","ASUS","i9","2025-07-31T22:07:41.390404","High-performance creator laptop with color-accurate OLED display. Ideal for graphic design, video editing, and professional content creation. Excellent display and solid performance.","40xx","ZenBook Pro 15 OLED","2899.0","32GB","15","E_Laptop"
"laptop_msi_ge76_raider","MSI","i9","2025-07-31T22:07:41.390404","Ultimate gaming powerhouse with RGB lighting and top-tier performance. Perfect for competitive gaming, streaming, and content creation. Features advanced cooling and customizable aesthetics.","50xx","MSI GE76 Raider","3799.0","64GB","16","E_Laptop"
"laptop_msi_gs66_stealth","MSI","i9","2025-07-31T22:07:41.390404","Sleek gaming laptop with understated design and powerful specs. Great for gamers who want performance without flashy aesthetics. Excellent build quality and thermal management.","50xx","MSI GS66 Stealth","2999.0","32GB","15","E_Laptop"
"laptop_msi_katana_gf66","MSI","i7","2025-07-31T22:07:41.390404","Affordable gaming laptop with solid performance for 1080p gaming. Perfect for students and casual gamers. Good value proposition with decent build quality and performance.","40xx","MSI Katana GF66","1799.0","16GB","15","E_Laptop"
"laptop_msi_creator_z16p","MSI","i9","2025-07-31T22:07:41.390404","Professional creator laptop optimized for content creation and design work. Features color-accurate display and powerful internals. Perfect for video editors and 3D artists.","40xx","MSI Creator Z16P","3299.0","64GB","16","E_Laptop"
"laptop_msi_prestige_14_evo","MSI","i7","2025-07-31T22:07:41.390404","Business-focused laptop with creator-friendly features and solid performance. Great for professionals who need both productivity and creative capabilities. Premium design and materials.","30xx","MSI Prestige 14 Evo","1999.0","32GB","15","E_Laptop"
"laptop_razer_blade_15_advanced","Razer","i9","2025-07-31T22:07:41.390404","Premium gaming laptop with sleek design and powerful performance. Perfect for serious gamers and content creators. Exceptional build quality with understated gaming aesthetics.","50xx","Razer Blade 15 Advanced","3199.0","32GB","15","E_Laptop"
"laptop_razer_blade_17","Razer","i9","2025-07-31T22:07:41.390404","Large-screen gaming powerhouse with desktop-class performance. Ideal for competitive gaming, streaming, and professional content creation. Top-tier specifications and premium materials.","50xx","Razer Blade 17","3899.0","64GB","16","E_Laptop"
"laptop_razer_blade_14","Razer","i7","2025-07-31T22:07:41.390404","Compact gaming laptop with excellent performance-to-size ratio. Great for mobile gaming and content creation. Premium build quality in a portable form factor.","40xx","Razer Blade 14","2499.0","32GB","15","E_Laptop"
"laptop_razer_blade_stealth_13","Razer","i7","2025-07-31T22:07:41.390404","Ultrabook-style laptop with gaming capabilities and premium design. Perfect for professionals who occasionally game. Excellent portability with solid performance.","30xx","Razer Blade Stealth 13","1999.0","16GB","13","E_Laptop"
"laptop_razer_book_13","Razer","i7","2025-07-31T22:07:41.390404","Productivity-focused laptop with gaming DNA and premium materials. Great for business professionals who want style and performance. Clean design with solid specifications.","30xx","Razer Book 13","1699.0","16GB","13","E_Laptop"
"laptop_acer_aspire_5_a515","Acer","i5","2025-07-31T22:07:41.390404","Affordable laptop with decent performance for everyday tasks. Perfect for students and home users. Good value proposition with solid build quality for the price point.","30xx","Acer Aspire 5 A515","899.0","16GB","15","E_Laptop"
"laptop_acer_swift_3_sf314","Acer","i7","2025-07-31T22:07:41.390404","Mid-range ultrabook with good performance and portability. Great for professionals and students who need reliable daily computing. Decent build quality and battery life.","30xx","Acer Swift 3 SF314","1299.0","32GB","15","E_Laptop"
"laptop_acer_predator_helios_300","Acer","i7","2025-07-31T22:07:41.390404","Gaming laptop with solid performance at competitive price. Perfect for enthusiast gamers and content creators. Good cooling system and upgrade options available.","40xx","Acer Predator Helios 300","2199.0","32GB","16","E_Laptop"
"laptop_acer_nitro_5_an515","Acer","i5","2025-07-31T22:07:41.390404","Entry-level gaming laptop with decent specs for 1080p gaming. Great for budget-conscious gamers and students. Affordable gaming performance with room for upgrades.","40xx","Acer Nitro 5 AN515","1499.0","16GB","15","E_Laptop"
"laptop_acer_conceptd_7","Acer","i9","2025-07-31T22:07:41.390404","Professional creator laptop with color-accurate display and powerful specs. Perfect for 3D modeling, video editing, and professional design work. ISV-certified for reliability.","50xx","Acer ConceptD 7","3499.0","64GB","16","E_Laptop"
"laptop_ideapad_gaming_3","Lenovo","i7","2025-07-31T22:07:41.390404","Affordable gaming laptop with solid performance for casual gaming. Great for students who want gaming capabilities. Good value with decent build quality and thermals.","40xx","IdeaPad Gaming 3","1399.0","16GB","15","E_Laptop"
"laptop_legion_5_pro","Lenovo","i7","2025-07-31T22:07:41.390404","High-performance gaming laptop with excellent display and powerful internals. Perfect for serious gamers and content creators. Premium gaming features and solid build quality.","50xx","Legion 5 Pro","2699.0","32GB","16","E_Laptop"
"laptop_ideapad_slim_7","Lenovo","i7","2025-07-31T22:07:41.390404","Sleek ultrabook with good performance and premium design. Great for professionals and students who value portability. Solid specifications in an elegant package.","30xx","IdeaPad Slim 7","1799.0","32GB","15","E_Laptop"
"laptop_yoga_9i_2_in_1","Lenovo","i9","2025-07-31T22:07:41.390404","Premium convertible laptop with exceptional build quality and performance. Perfect for creative professionals and executives. Versatile form factor with premium materials.","40xx","Yoga 9i 2-in-1","2899.0","32GB","15","E_Laptop"
"laptop_thinkbook_14s_yoga","Lenovo","i5","2025-07-31T22:07:41.390404","Business convertible with flexible usage modes and solid performance. Great for small business owners and professionals. Good balance of features and price.","30xx","ThinkBook 14s Yoga","1499.0","16GB","15","E_Laptop"
"laptop_inspiron_15_3000","Dell","i3","2025-07-31T22:07:41.396934","Basic laptop for everyday computing needs. Great for home users and office work. Dell reliability with affordable pricing.","20xx","Inspiron 15 3000","579.0","8GB","15","E_Laptop"
"laptop_inspiron_14_5000_2_in_1","Dell","i7","2025-07-31T22:07:41.390404","Versatile convertible laptop with touchscreen and good performance. Great for students and professionals who need flexibility. Decent build quality at competitive price.","30xx","Inspiron 14 5000 2-in-1","1599.0","32GB","15","E_Laptop"
"laptop_alienware_m15_r7","Dell","i9","2025-07-31T22:07:41.390404","High-end gaming laptop with alien-inspired design and top-tier performance. Perfect for hardcore gamers and enthusiasts. Premium gaming features and exceptional specifications.","50xx","Alienware m15 R7","3599.0","64GB","15","E_Laptop"
"laptop_latitude_9430_2_in_1","Dell","i7","2025-07-31T22:07:41.390404","Premium business convertible with enterprise features and excellent build quality. Ideal for executives and mobile professionals. Advanced security and management capabilities.","40xx","Latitude 9430 2-in-1","2799.0","32GB","15","E_Laptop"
"laptop_vostro_15_3000","Dell","i5","2025-07-31T22:07:41.390404","Small business laptop with essential features and reliable performance. Great for office work and basic productivity tasks. Cost-effective solution for business environments.","30xx","Vostro 15 3000","1099.0","16GB","15","E_Laptop"
"laptop_pavilion_gaming_15","HP","i7","2025-07-31T22:07:41.390404","Mid-range gaming laptop with decent performance for 1080p gaming. Perfect for casual gamers and students. Good balance of gaming performance and everyday usability.","40xx","Pavilion Gaming 15","1699.0","32GB","15","E_Laptop"
"laptop_omen_16","HP","i9","2025-07-31T22:07:41.390404","High-performance gaming laptop with large screen and powerful specs. Ideal for competitive gaming and content creation. Advanced cooling and customizable RGB lighting.","50xx","Omen 16","2999.0","64GB","16","E_Laptop"
"laptop_envy_x360_15","HP","i7","2025-07-31T22:07:41.397935","Premium convertible with elegant design. Great for professionals and students. Good balance of performance and versatility.","20xx","Envy x360 15","1499.0","16GB","15","E_Laptop"
"laptop_probook_450_g9","HP","i5","2025-07-31T22:07:41.390404","Business laptop with essential features and reliable performance. Perfect for small businesses and professional use. Good security features and manageable price point.","30xx","ProBook 450 G9","1299.0","16GB","15","E_Laptop"
"laptop_spectre_x360_14","HP","i7","2025-07-31T22:07:41.395935","Premium convertible with gem-cut design and solid specs. Great for executives and creative professionals. Luxury materials with excellent build quality.","20xx","Spectre x360 14","2099.0","32GB","14","E_Laptop"
"laptop_vivobook_pro_16x_oled","ASUS","i9","2025-07-31T22:07:41.390404","Creator-focused laptop with vibrant OLED display and powerful internals. Perfect for content creation and professional design work. Excellent screen quality and solid performance.","50xx","VivoBook Pro 16X OLED","2999.0","64GB","16","E_Laptop"
"laptop_rog_strix_g15","ASUS","i7","2025-07-31T22:07:41.390404","Gaming laptop with aggressive styling and solid performance. Great for enthusiast gamers and content creators. Good cooling system and customizable RGB effects.","40xx","ROG Strix G15","2199.0","32GB","15","E_Laptop"
"laptop_tuf_gaming_f15","ASUS","i5","2025-07-31T22:07:41.390404","Durable gaming laptop built for reliability and performance. Perfect for budget-conscious gamers. Military-grade durability testing and decent gaming specifications.","30xx","TUF Gaming F15","1399.0","16GB","15","E_Laptop"
"laptop_expertbook_b9","ASUS","i7","2025-07-31T22:07:41.390404","Ultra-lightweight business laptop with exceptional portability and performance. Ideal for traveling professionals and executives. Premium materials and enterprise features.","30xx","ExpertBook B9","2199.0","32GB","15","E_Laptop"
"laptop_chromebook_flip_c436","ASUS","i5","2025-07-31T22:07:41.390404","Premium Chromebook with convertible design and solid build quality. Great for students and users who primarily work in web browsers. Good performance for Chrome OS tasks.","30xx","Chromebook Flip C436","899.0","16GB","15","E_Laptop"
"laptop_acer_aspire_3_a315","Acer","i5","2025-07-31T22:07:41.390404","Entry-level laptop perfect for basic computing tasks. Ideal for students and home users on a budget. Decent performance for web browsing, office work, and media consumption.","30xx","Acer Aspire 3 A315","699.0","16GB","15","E_Laptop"
"laptop_hp_15_dy2000","HP","i5","2025-07-31T22:07:41.390404","Affordable laptop with reliable performance for everyday use. Great for families and students. Simple design with essential features at competitive price point.","30xx","HP 15-dy2000","749.0","16GB","15","E_Laptop"
"laptop_lenovo_ideapad_3_15","Lenovo","i5","2025-07-31T22:07:41.390404","Budget-friendly laptop with decent specifications for daily tasks. Perfect for home users and students. Good value proposition with reliable Lenovo build quality.","30xx","Lenovo IdeaPad 3 15","799.0","16GB","15","E_Laptop"
"laptop_dell_inspiron_15_3501","Dell","i5","2025-07-31T22:07:41.390404","Basic laptop for essential computing needs. Ideal for office work, web browsing, and light productivity. Affordable Dell reliability with standard features.","30xx","Dell Inspiron 15 3501","729.0","16GB","15","E_Laptop"
"laptop_asus_vivobook_15_x515","ASUS","i5","2025-07-31T22:07:41.390404","Entry-level laptop with colorful design options and basic performance. Great for students and casual users. Affordable option with decent build quality for the price.","30xx","ASUS VivoBook 15 X515","679.0","16GB","15","E_Laptop"
"laptop_acer_swift_x_sfx14","Acer","i7","2025-07-31T22:07:41.390404","Content creator laptop with dedicated graphics and solid performance. Perfect for video editing, photo work, and light gaming. Good balance of performance and portability.","40xx","Acer Swift X SFX14","1599.0","32GB","15","E_Laptop"
"laptop_hp_envy_15","HP","i7","2025-07-31T22:07:41.390404","Premium laptop with excellent display and solid performance. Great for creative work and professional use. Quality materials and good performance specifications.","40xx","HP Envy 15","1799.0","32GB","15","E_Laptop"
"laptop_lenovo_legion_slim_7","Lenovo","i7","2025-07-31T22:07:41.390404","Sleek gaming laptop with powerful specs in thin design. Perfect for gamers who want performance and portability. Premium build quality with advanced cooling system.","50xx","Lenovo Legion Slim 7","2599.0","32GB","16","E_Laptop"
"laptop_dell_g15_gaming","Dell","i7","2025-07-31T22:07:41.390404","Gaming laptop with solid performance at competitive price. Great for casual gaming and content creation. Good thermal management and upgrade options available.","40xx","Dell G15 Gaming","1899.0","32GB","15","E_Laptop"
"laptop_asus_tuf_dash_f15","ASUS","i7","2025-07-31T22:07:41.390404","Lightweight gaming laptop with military-grade durability. Perfect for mobile gaming and professional use. Good balance of performance, portability, and build quality.","40xx","ASUS TUF Dash F15","1699.0","32GB","15","E_Laptop"
"laptop_hp_zbook_studio_g9","HP","i9","2025-07-31T22:07:41.390404","Professional mobile workstation with ISV certification and top-tier specs. Perfect for CAD, engineering, and professional 3D work. Maximum performance and reliability.","50xx","HP ZBook Studio G9","4199.0","64GB","16","E_Laptop"
"laptop_dell_precision_7670","Dell","i9","2025-07-31T22:07:41.390404","Ultimate mobile workstation for demanding professional applications. Ideal for engineering, scientific computing, and professional content creation. No-compromise performance.","50xx","Dell Precision 7670","3999.0","64GB","16","E_Laptop"
"laptop_lenovo_thinkpad_p16","Lenovo","i9","2025-07-31T22:07:41.390404","Flagship mobile workstation with maximum performance and reliability. Perfect for professional CAD, rendering, and scientific applications. ISV-certified with premium build quality.","50xx","Lenovo ThinkPad P16","4299.0","64GB","16","E_Laptop"
"laptop_msi_ws66_workstation","MSI","i9","2025-07-31T22:07:41.390404","Professional workstation laptop optimized for creative and technical work. Ideal for 3D modeling, video production, and engineering applications. ISV certification and reliability.","50xx","MSI WS66 Workstation","3799.0","64GB","15","E_Laptop"
"laptop_asus_proart_studiobook_pro_x","ASUS","i9","2025-07-31T22:07:41.390404","Creator workstation with color-accurate display and powerful specifications. Perfect for professional video editing, 3D work, and graphic design. Premium materials and exceptional screen.","50xx","ASUS ProArt StudioBook Pro X","3899.0","64GB","16","E_Laptop"
"laptop_lg_gram_17","LG","i7","2025-07-31T22:07:41.390404","Ultra-lightweight laptop with large screen and excellent portability. Perfect for professionals who travel frequently. Exceptional battery life and minimal weight despite large display.","30xx","LG Gram 17","1999.0","32GB","16","E_Laptop"
"laptop_samsung_galaxy_book2_pro","Samsung","i7","2025-07-31T22:07:41.391912","Sleek ultrabook with Samsung ecosystem integration and solid performance. Great for users in Samsung ecosystem. Premium design with good performance and connectivity.","30xx","Samsung Galaxy Book2 Pro","1899.0","32GB","15","E_Laptop"
"laptop_microsoft_surface_laptop_5","Microsoft","i7","2025-07-31T22:07:41.391912","Premium laptop with excellent build quality and Microsoft ecosystem integration. Perfect for professionals and students. Clean design with solid performance and materials.","30xx","Microsoft Surface Laptop 5","1999.0","32GB","13","E_Laptop"
"laptop_huawei_matebook_x_pro","Huawei","i7","2025-07-31T22:07:41.391912","Elegant ultrabook with premium materials and solid performance. Great for professionals who value design and portability. Excellent build quality and attention to detail.","40xx","Huawei MateBook X Pro","1799.0","32GB","15","E_Laptop"
"laptop_xiaomi_mi_laptop_pro","Xiaomi","i7","2025-07-31T22:07:41.391912","Value-oriented premium laptop with good specifications at competitive price. Perfect for users who want flagship features without premium pricing. Solid build and performance.","40xx","Xiaomi Mi Laptop Pro","1599.0","32GB","15","E_Laptop"
"laptop_gigabyte_aero_17","Gigabyte","i9","2025-07-31T22:07:41.391912","Creator laptop with color-accurate OLED display and powerful specs. Perfect for professional content creation and video editing. Premium display quality and solid performance.","50xx","Gigabyte AERO 17","3699.0","64GB","16","E_Laptop"
"laptop_origin_pc_evo17_s","Origin PC","i9","2025-07-31T22:07:41.391912","Custom-built performance laptop with desktop-class components. Ideal for gaming enthusiasts and content creators who need maximum performance. Fully customizable specifications.","50xx","Origin PC EVO17-S","4199.0","64GB","16","E_Laptop"
"laptop_maingear_element","Maingear","i9","2025-07-31T22:07:41.391912","Boutique gaming laptop with premium components and custom configuration. Perfect for enthusiasts who want unique, high-performance systems. Exceptional build quality and support.","50xx","Maingear Element","3299.0","32GB","15","E_Laptop"
"laptop_digital_storm_equinox","Digital Storm","i9","2025-07-31T22:07:41.391912","High-end gaming laptop with custom cooling and premium components. Ideal for competitive gaming and professional streaming. Maximum performance with custom aesthetics.","50xx","Digital Storm Equinox","3899.0","64GB","16","E_Laptop"
"laptop_falcon_northwest_fragbook","Falcon Northwest","i9","2025-07-31T22:07:41.391912","Boutique performance laptop with hand-built quality and custom paint options. Perfect for users who want unique, high-performance systems. Exceptional attention to detail.","50xx","Falcon Northwest FragBook","3599.0","32GB","15","E_Laptop"
"laptop_hp_spectre_x360_16","HP","i7","2025-07-31T22:07:41.391912","Premium large-screen convertible with elegant design and solid performance. Perfect for creative professionals and executives. Luxury materials and versatile form factor.","40xx","HP Spectre x360 16","2499.0","32GB","16","E_Laptop"
"laptop_dell_xps_13_2_in_1","Dell","i7","2025-07-31T22:07:41.391912","Compact premium convertible with excellent build quality and performance. Great for professionals who need versatility. Premium materials and solid specifications.","30xx","Dell XPS 13 2-in-1","2199.0","32GB","13","E_Laptop"
"laptop_lenovo_yoga_7i_16","Lenovo","i7","2025-07-31T22:07:41.391912","Large-screen convertible with solid performance and good build quality. Perfect for content creation and professional use. Versatile 2-in-1 design with quality components.","40xx","Lenovo Yoga 7i 16","1999.0","32GB","16","E_Laptop"
"laptop_asus_zenbook_pro_15_flip","ASUS","i9","2025-07-31T22:07:41.391912","High-performance convertible for content creators and professionals. Ideal for design work, video editing, and presentation. Powerful specs in flexible form factor.","50xx","ASUS ZenBook Pro 15 Flip","3199.0","64GB","15","E_Laptop"
"laptop_surface_book_3","Microsoft","i7","2025-07-31T22:07:41.391912","Unique detachable laptop with tablet functionality and solid performance. Perfect for creative professionals and business users. Innovative design with premium materials.","40xx","Surface Book 3","2899.0","32GB","15","E_Laptop"
"laptop_alienware_x17_r2","Alienware","i9","2025-07-31T22:07:41.391912","Ultimate gaming laptop with desktop-class performance and alien aesthetics. Perfect for hardcore gamers and enthusiasts. Maximum performance with premium gaming features.","50xx","Alienware x17 R2","4299.0","64GB","16","E_Laptop"
"laptop_rog_zephyrus_g14","ASUS","i7","2025-07-31T22:07:41.391912","Compact gaming laptop with excellent performance-to-size ratio. Great for mobile gaming and content creation. Unique design with solid gaming performance.","40xx","ROG Zephyrus G14","2399.0","32GB","15","E_Laptop"
"laptop_msi_gs77_stealth","MSI","i9","2025-07-31T22:07:41.391912","Large-screen gaming laptop with understated design and maximum performance. Perfect for gamers who want desktop replacement performance. Premium build with powerful specifications.","50xx","MSI GS77 Stealth","3799.0","64GB","16","E_Laptop"
"laptop_razer_blade_pro_17","Razer","i9","2025-07-31T22:07:41.391912","Professional gaming laptop with workstation-class performance and premium materials. Ideal for content creators and serious gamers. Maximum performance in elegant package.","50xx","Razer Blade Pro 17","4199.0","64GB","16","E_Laptop"
"laptop_origin_pc_neuron","Origin PC","i9","2025-07-31T22:07:41.391912","Custom gaming laptop with desktop-class components and premium build quality. Perfect for enthusiasts who demand maximum performance. Fully customizable gaming machine.","50xx","Origin PC Neuron","3499.0","32GB","15","E_Laptop"
"laptop_thinkpad_l15_gen_3","Lenovo","i7","2025-07-31T22:07:41.391912","Reliable business laptop with solid performance and security features. Great for enterprise deployments and professional use.","30xx","ThinkPad L15 Gen 3","1599.0","32GB","15","E_Laptop"
"laptop_xps_13_developer","Dell","i7","2025-07-31T22:07:41.391912","Developer-focused ultrabook with Linux compatibility and premium build quality. Perfect for software development and programming.","30xx","XPS 13 Developer","2099.0","16GB","13","E_Laptop"
"laptop_elitebook_845_g8","HP","i7","2025-07-31T22:07:41.391912","AMD-powered business laptop with excellent performance and battery life. Ideal for mobile professionals and business use.","30xx","EliteBook 845 G8","1999.0","32GB","15","E_Laptop"
"laptop_macbook_air_15_inch","Apple","i7","2025-07-31T22:07:41.391912","Large-screen MacBook Air with excellent performance and portability. Perfect for creative professionals who need screen real estate.","30xx","MacBook Air 15-inch","1899.0","24GB","15","E_Laptop"
"laptop_zenbook_15_oled","ASUS","i7","2025-07-31T22:07:41.391912","OLED ultrabook with vibrant display and solid performance. Great for content creation and professional work with color accuracy needs.","40xx","ZenBook 15 OLED","1799.0","16GB","15","E_Laptop"
"laptop_aspire_7_a715","Acer","i5","2025-07-31T22:07:41.391912","Gaming-focused laptop with solid performance for 1080p gaming. Perfect for students and casual gamers on a budget.","40xx","Aspire 7 A715","1199.0","8GB","15","E_Laptop"
"laptop_pavilion_15","HP","i5","2025-07-31T22:07:41.391912","All-around laptop for home and office use. Great balance of performance and affordability for everyday computing tasks.","30xx","Pavilion 15","999.0","8GB","15","E_Laptop"
"laptop_ideapad_5_pro","Lenovo","i7","2025-07-31T22:07:41.391912","Premium consumer laptop with excellent display and solid performance. Perfect for professionals and power users.","40xx","IdeaPad 5 Pro","1699.0","16GB","16","E_Laptop"
"laptop_inspiron_16_plus","Dell","i7","2025-07-31T22:07:41.391912","Large-screen laptop with creator-focused features and solid performance. Great for content creation and productivity work.","40xx","Inspiron 16 Plus","1899.0","32GB","16","E_Laptop"
"laptop_rog_flow_x13","ASUS","i7","2025-07-31T22:07:41.391912","Convertible gaming laptop with unique design and solid performance. Perfect for mobile gaming and creative work.","40xx","ROG Flow X13","2499.0","32GB","13","E_Laptop"
"laptop_gaming_laptop_pro","MSI","i9","2025-07-31T22:07:41.391912","High-end gaming machine with top specifications.","50xx","Gaming Laptop Pro","3599.0","64GB","16","E_Laptop"
"laptop_business_elite","HP","i9","2025-07-31T22:07:41.391912","Premium business laptop with workstation performance.","50xx","Business Elite","3299.0","64GB","15","E_Laptop"
"laptop_creator_studio","Dell","i9","2025-07-31T22:07:41.391912","Professional content creation powerhouse.","50xx","Creator Studio","3799.0","64GB","16","E_Laptop"
"laptop_ultra_portable","Lenovo","i5","2025-07-31T22:07:41.391912","Lightweight laptop for mobile professionals.","30xx","Ultra Portable","1299.0","8GB","13","E_Laptop"
"laptop_student_special","Acer","i5","2025-07-31T22:07:41.391912","Affordable laptop perfect for students and basic use.","30xx","Student Special","899.0","8GB","15","E_Laptop"
"laptop_rog_strix_scar_18","ASUS","i9","2025-07-31T22:07:41.400276","Extreme gaming laptop with massive display and desktop replacement performance. Ideal for competitive esports and professional streaming. Advanced cooling with esports optimization.","20xx","ROG Strix SCAR 18","4999.0","128GB","18","E_Laptop"
