"id:ID","contentRaw","createdAt","originalBrand","originalCpu","originalHardDrive","originalName","originalRam","originalVideoCard","sourceFile","sourceLine",":LABEL"
"doc_laptop_acer_swift_3_sf314","INSERT INTO laptops VALUES ('Acer Swift 3 SF314', 'Acer', 'I7', 'NVIDIA 30xx', 15, '32GB', '1TB', 1299.0, 'Mid-range ultrabook with good performance and portability. Great for professionals and students who need reliable daily computing. Decent build quality and battery life.');","2025-07-31T22:07:41.390404","Acer","I7","1TB","Acer Swift 3 SF314","32GB","NVIDIA 30xx","laptop-data.sql","41","D_LaptopSpec"
"doc_laptop_acer_predator_helios_300","INSERT INTO laptops VALUES ('Acer Predator Helios 300', 'Acer', 'Intel i7', 'GeForce RTX 40xx', 16, '32G', '1T', 2199.0, 'Gaming laptop with solid performance at competitive price. Perfect for enthusiast gamers and content creators. Good cooling system and upgrade options available.');","2025-07-31T22:07:41.390404","Acer","Intel i7","1T","Acer Predator Helios 300","32G","GeForce RTX 40xx","laptop-data.sql","42","D_LaptopSpec"
"doc_laptop_acer_nitro_5_an515","INSERT INTO laptops VALUES ('Acer Nitro 5 AN515', 'Acer', 'i5', 'Nvidia 40xx', 15, '16GB', '1TB', 1499.0, 'Entry-level gaming laptop with decent specs for 1080p gaming. Great for budget-conscious gamers and students. Affordable gaming performance with room for upgrades.');","2025-07-31T22:07:41.390404","Acer","i5","1TB","Acer Nitro 5 AN515","16GB","Nvidia 40xx","laptop-data.sql","43","D_LaptopSpec"
"doc_laptop_acer_conceptd_7","INSERT INTO laptops VALUES ('Acer ConceptD 7', 'Acer', 'i9', 'RTX 50xx', 16, '64G', '2T', 3499.0, 'Professional creator laptop with color-accurate display and powerful specs. Perfect for 3D modeling, video editing, and professional design work. ISV-certified for reliability.');","2025-07-31T22:07:41.390404","Acer","i9","2T","Acer ConceptD 7","64G","RTX 50xx","laptop-data.sql","44","D_LaptopSpec"
"doc_laptop_ideapad_gaming_3","INSERT INTO laptops VALUES ('IdeaPad Gaming 3', 'Lenovo', 'I7', 'NVIDIA RTX 40xx', 15, '16G', '1T', 1399.0, 'Affordable gaming laptop with solid performance for casual gaming. Great for students who want gaming capabilities. Good value with decent build quality and thermals.');","2025-07-31T22:07:41.390404","Lenovo","I7","1T","IdeaPad Gaming 3","16G","NVIDIA RTX 40xx","laptop-data.sql","45","D_LaptopSpec"
"doc_laptop_legion_5_pro","INSERT INTO laptops VALUES ('Legion 5 Pro', 'Lenovo', 'Intel Core i7', 'Nvidia 50xx', 16, '32GB', '1TB', 2699.0, 'High-performance gaming laptop with excellent display and powerful internals. Perfect for serious gamers and content creators. Premium gaming features and solid build quality.');","2025-07-31T22:07:41.390404","Lenovo","Intel Core i7","1TB","Legion 5 Pro","32GB","Nvidia 50xx","laptop-data.sql","46","D_LaptopSpec"
"doc_laptop_ideapad_slim_7","INSERT INTO laptops VALUES ('IdeaPad Slim 7', 'Lenovo', 'i7', 'GeForce RTX 30xx', 15, '32G', '1TB', 1799.0, 'Sleek ultrabook with good performance and premium design. Great for professionals and students who value portability. Solid specifications in an elegant package.');","2025-07-31T22:07:41.390404","Lenovo","i7","1TB","IdeaPad Slim 7","32G","GeForce RTX 30xx","laptop-data.sql","47","D_LaptopSpec"
"doc_laptop_yoga_9i_2_in_1","INSERT INTO laptops VALUES ('Yoga 9i 2-in-1', 'Lenovo', 'I9', 'RTX 40xx', 15, '32GB', '2T', 2899.0, 'Premium convertible laptop with exceptional build quality and performance. Perfect for creative professionals and executives. Versatile form factor with premium materials.');","2025-07-31T22:07:41.390404","Lenovo","I9","2T","Yoga 9i 2-in-1","32GB","RTX 40xx","laptop-data.sql","48","D_LaptopSpec"
"doc_laptop_thinkbook_14s_yoga","INSERT INTO laptops VALUES ('ThinkBook 14s Yoga', 'Lenovo', 'i5', 'Nvidia 30xx', 15, '16G', '1T', 1499.0, 'Business convertible with flexible usage modes and solid performance. Great for small business owners and professionals. Good balance of features and price.');","2025-07-31T22:07:41.390404","Lenovo","i5","1T","ThinkBook 14s Yoga","16G","Nvidia 30xx","laptop-data.sql","49","D_LaptopSpec"
"doc_laptop_inspiron_15_3000","INSERT INTO laptops VALUES ('Inspiron 15 3000', 'Dell', 'intel i3', 'RTX 20xx', 15, '8GB', '512G', 579.0, 'Basic laptop for everyday computing needs. Great for home users and office work. Dell reliability with affordable pricing.');","2025-07-31T22:07:41.396934","Dell","intel i3","512G","Inspiron 15 3000","8GB","RTX 20xx","laptop-data.sql","64","D_LaptopSpec"
"doc_laptop_inspiron_14_5000_2_in_1","INSERT INTO laptops VALUES ('Inspiron 14 5000 2-in-1', 'Dell', 'I7', 'GeForce RTX 30xx', 15, '32G', '1TB', 1599.0, 'Versatile convertible laptop with touchscreen and good performance. Great for students and professionals who need flexibility. Decent build quality at competitive price.');","2025-07-31T22:07:41.390404","Dell","I7","1TB","Inspiron 14 5000 2-in-1","32G","GeForce RTX 30xx","laptop-data.sql","51","D_LaptopSpec"
"doc_laptop_alienware_m15_r7","INSERT INTO laptops VALUES ('Alienware m15 R7', 'Dell', 'Intel i9', 'Nvidia 50xx', 15, '64GB', '2TB', 3599.0, 'High-end gaming laptop with alien-inspired design and top-tier performance. Perfect for hardcore gamers and enthusiasts. Premium gaming features and exceptional specifications.');","2025-07-31T22:07:41.390404","Dell","Intel i9","2TB","Alienware m15 R7","64GB","Nvidia 50xx","laptop-data.sql","52","D_LaptopSpec"
"doc_laptop_latitude_9430_2_in_1","INSERT INTO laptops VALUES ('Latitude 9430 2-in-1', 'Dell', 'i7', 'RTX 40xx', 15, '32G', '1T', 2799.0, 'Premium business convertible with enterprise features and excellent build quality. Ideal for executives and mobile professionals. Advanced security and management capabilities.');","2025-07-31T22:07:41.390404","Dell","i7","1T","Latitude 9430 2-in-1","32G","RTX 40xx","laptop-data.sql","53","D_LaptopSpec"
"doc_laptop_vostro_15_3000","INSERT INTO laptops VALUES ('Vostro 15 3000', 'Dell', 'I5', 'NVIDIA 30xx', 15, '16G', '1TB', 1099.0, 'Small business laptop with essential features and reliable performance. Great for office work and basic productivity tasks. Cost-effective solution for business environments.');","2025-07-31T22:07:41.390404","Dell","I5","1TB","Vostro 15 3000","16G","NVIDIA 30xx","laptop-data.sql","54","D_LaptopSpec"
"doc_laptop_pavilion_gaming_15","INSERT INTO laptops VALUES ('Pavilion Gaming 15', 'HP', 'i7', 'Nvidia 40xx', 15, '32GB', '1T', 1699.0, 'Mid-range gaming laptop with decent performance for 1080p gaming. Perfect for casual gamers and students. Good balance of gaming performance and everyday usability.');","2025-07-31T22:07:41.390404","HP","i7","1T","Pavilion Gaming 15","32GB","Nvidia 40xx","laptop-data.sql","55","D_LaptopSpec"
"doc_laptop_omen_16","INSERT INTO laptops VALUES ('Omen 16', 'HP', 'I9', 'NVIDIA RTX 50xx', 16, '64G', '2TB', 2999.0, 'High-performance gaming laptop with large screen and powerful specs. Ideal for competitive gaming and content creation. Advanced cooling and customizable RGB lighting.');","2025-07-31T22:07:41.390404","HP","I9","2TB","Omen 16","64G","NVIDIA RTX 50xx","laptop-data.sql","56","D_LaptopSpec"
"doc_laptop_envy_x360_15","INSERT INTO laptops VALUES ('Envy x360 15', 'HP', 'i7', 'NVIDIA RTX 20xx', 15, '16GB', '1T', 1499.0, 'Premium convertible with elegant design. Great for professionals and students. Good balance of performance and versatility.');","2025-07-31T22:07:41.397935","HP","i7","1T","Envy x360 15","16GB","NVIDIA RTX 20xx","laptop-data.sql","81","D_LaptopSpec"
"doc_laptop_probook_450_g9","INSERT INTO laptops VALUES ('ProBook 450 G9', 'HP', 'i5', 'Nvidia 30xx', 15, '16GB', '1T', 1299.0, 'Business laptop with essential features and reliable performance. Perfect for small businesses and professional use. Good security features and manageable price point.');","2025-07-31T22:07:41.390404","HP","i5","1T","ProBook 450 G9","16GB","Nvidia 30xx","laptop-data.sql","58","D_LaptopSpec"
"doc_laptop_spectre_x360_14","INSERT INTO laptops VALUES ('Spectre x360 14', 'HP', 'I7', 'NVIDIA 20xx', 14, '32G', '1TB', 2099.0, 'Premium convertible with gem-cut design and solid specs. Great for executives and creative professionals. Luxury materials with excellent build quality.');","2025-07-31T22:07:41.395935","HP","I7","1TB","Spectre x360 14","32G","NVIDIA 20xx","laptop-data.sql","32","D_LaptopSpec"
"doc_laptop_vivobook_pro_16x_oled","INSERT INTO laptops VALUES ('VivoBook Pro 16X OLED', 'ASUS', 'i9', 'Nvidia 50xx', 16, '64GB', '2T', 2999.0, 'Creator-focused laptop with vibrant OLED display and powerful internals. Perfect for content creation and professional design work. Excellent screen quality and solid performance.');","2025-07-31T22:07:41.390404","ASUS","i9","2T","VivoBook Pro 16X OLED","64GB","Nvidia 50xx","laptop-data.sql","60","D_LaptopSpec"
"doc_laptop_rog_strix_g15","INSERT INTO laptops VALUES ('ROG Strix G15', 'ASUS', 'I7', 'NVIDIA RTX 40xx', 15, '32G', '1TB', 2199.0, 'Gaming laptop with aggressive styling and solid performance. Great for enthusiast gamers and content creators. Good cooling system and customizable RGB effects.');","2025-07-31T22:07:41.390404","ASUS","I7","1TB","ROG Strix G15","32G","NVIDIA RTX 40xx","laptop-data.sql","61","D_LaptopSpec"
"doc_laptop_tuf_gaming_f15","INSERT INTO laptops VALUES ('TUF Gaming F15', 'ASUS', 'Intel i5', 'GeForce RTX 30xx', 15, '16GB', '1T', 1399.0, 'Durable gaming laptop built for reliability and performance. Perfect for budget-conscious gamers. Military-grade durability testing and decent gaming specifications.');","2025-07-31T22:07:41.390404","ASUS","Intel i5","1T","TUF Gaming F15","16GB","GeForce RTX 30xx","laptop-data.sql","62","D_LaptopSpec"
"doc_laptop_expertbook_b9","INSERT INTO laptops VALUES ('ExpertBook B9', 'ASUS', 'i7', 'Nvidia 30xx', 15, '32G', '1TB', 2199.0, 'Ultra-lightweight business laptop with exceptional portability and performance. Ideal for traveling professionals and executives. Premium materials and enterprise features.');","2025-07-31T22:07:41.390404","ASUS","i7","1TB","ExpertBook B9","32G","Nvidia 30xx","laptop-data.sql","63","D_LaptopSpec"
"doc_laptop_chromebook_flip_c436","INSERT INTO laptops VALUES ('Chromebook Flip C436', 'ASUS', 'I5', 'RTX 30xx', 15, '16G', '1T', 899.0, 'Premium Chromebook with convertible design and solid build quality. Great for students and users who primarily work in web browsers. Good performance for Chrome OS tasks.');","2025-07-31T22:07:41.390404","ASUS","I5","1T","Chromebook Flip C436","16G","RTX 30xx","laptop-data.sql","64","D_LaptopSpec"
"doc_laptop_acer_aspire_3_a315","INSERT INTO laptops VALUES ('Acer Aspire 3 A315', 'Acer', 'i5', 'NVIDIA 30xx', 15, '16GB', '1TB', 699.0, 'Entry-level laptop perfect for basic computing tasks. Ideal for students and home users on a budget. Decent performance for web browsing, office work, and media consumption.');","2025-07-31T22:07:41.390404","Acer","i5","1TB","Acer Aspire 3 A315","16GB","NVIDIA 30xx","laptop-data.sql","65","D_LaptopSpec"
"doc_laptop_hp_15_dy2000","INSERT INTO laptops VALUES ('HP 15-dy2000', 'HP', 'I5', 'GeForce RTX 30xx', 15, '16G', '1T', 749.0, 'Affordable laptop with reliable performance for everyday use. Great for families and students. Simple design with essential features at competitive price point.');","2025-07-31T22:07:41.390404","HP","I5","1T","HP 15-dy2000","16G","GeForce RTX 30xx","laptop-data.sql","66","D_LaptopSpec"
